,text,waktu,jumlah kata,jam,label
1146,iya bener takut corona nambah klau takut bagi tempat umum tutup dong penjagaanya hrs lebih diketatin walaupun sekolah tatap muka nnti gilir aja udh syukur banget seengaknya tatap muka interaksi orang,2021-06-05 12:28:05+00:00,31,siang,1
1147,gpp sekolah tatap muka pngn kuliah online trs sampe lulus,2021-06-03 22:57:34+00:00,10,malam,1
1148,polling sekolah tatap muka anak lanang ibu tetep jawab sedia,2021-06-03 10:48:17+00:00,10,siang,1
1149,wah kalau begini buka sekolah tatap muka jangan juli pak nanti mekso nama pandemi aja puncak puncak,2021-06-02 04:52:19+00:00,17,pagi,1
1150,bukan mau sombong lagi apa disombongin hal kayak gitu pas kelas offline hampir pernah skip krn telat jam lebih gua tidur tidur siang untung kelas megang asprak jadi masuk aja kelas online saja sering skip kelas kelas kuliah,2021-06-08 03:58:31+00:00,38,pagi,1
1151,kelas online aja gbs diem gmn offline ntar,2021-06-08 03:57:19+00:00,8,pagi,1
1152,merhatiin jelas guru nder pokok kalo kelas kudu pahamin materi bisa rumah ajar biar makin paham nonton jujur aku kalo sekolah offline rumah pernah ajar sih nder hwhwhw,2021-06-06 14:05:28+00:00,28,siang,1
1153,kelas offline yatuhan males banget,2021-06-06 12:21:31+00:00,5,siang,1
1154,kalau anak kuliah kena imbas corona dapat kelas online rata rata kangen kelas offline buat aku panjang offline mah ken online aja eman kalau online bayar spp nya sama kayak offline fasilitas kampus maksimal utk pakai,2021-06-06 03:55:25+00:00,36,pagi,1
1155,iyaa neng karna oke akhir lulus masuk kalo offline lingkukan sama temen nya bener udah ubah banget bahkan temen kelas aja bom sempet kenal,2021-06-03 14:19:38+00:00,24,siang,1
1156,nya dosen ngasi tau dadak kuliah offline hari,2021-06-08 04:27:40+00:00,8,pagi,1
1157,kampus aku kayak udah fix banget nih kuliah offline bulan juli semua dosen udah vaksin,2021-06-08 04:24:29+00:00,15,pagi,1
1158,betull abis kuliah langsung bsa rebah lebih kalau kuliah offline cape banget pulang kerja langsung kampus,2021-06-08 03:24:18+00:00,16,pagi,1
1159,dpt kabar klo kuliah offline tpi takutt bgtt mau jauh dri bapak ibu,2021-06-07 17:22:45+00:00,13,malam,1
1160,ancam kuliah offline mah,2021-06-06 02:33:58+00:00,4,pagi,1
1161,bct doang inimah korona batch udah wacana mau kuliah offline sampe skr aja offline bahkan sampe korona update versi,2021-06-02 22:39:25+00:00,19,malam,1
1162,tweetku aku ngedumel aku muak kuliah online aku udah gak mau kalau tiba tiba offline aku gak mau bikin essay proposal skripsi aku butuh lulus,2021-06-02 20:35:34+00:00,25,malam,1
1163,jadi betah kuliah online ndakik ndakik ken offline lah materi masuk lah capek rumah lah sekali aja online nyampe lulus gausah offline biar gausah bikin skripsi udah gaada materi ini,2021-06-02 19:42:09+00:00,30,malam,1
1164,maaf tanya enak cara dapet ukt gol gimana jujur aku berat dapet ukt tinggi kalo misal udh kuliah offline biaya kos,2021-06-02 19:04:47+00:00,21,malam,1
1165,ken dekor kamar ben iso kuliah online damai denger semester depan bakal offline trus rencane taun depan dah mulai idup baru cintaq hiks masalahe duite ngpas jadi penuh timbang,2021-06-02 17:58:37+00:00,29,malam,1
1166,asa kuliah offline jam gin bru plg ngampus,2021-06-02 17:21:25+00:00,8,malam,1
1167,kangen banget kuliah offline udah lanjur nyaman banget rumah,2021-06-02 17:04:30+00:00,9,malam,1
1170,nyata aku ambis semester satu aja semester banyak mager stres gakada motivasi juli kabar kuliah sekolah bakal tatap muka lebih suka online banding offline,2021-06-02 16:12:18+00:00,24,siang,1
1171,anjim besok kuliah offline,2021-06-02 16:11:27+00:00,4,siang,1
1172,hah knp tiba berita kuliah offline mengtakut,2021-06-02 16:05:08+00:00,7,siang,1
1173,sumpah gue shock tbtb bentar smt kek hah cepet asa kuliah gin gin doang mana temen temen gue dah lulus mau lulus jadi mikir tar gue ama siapa klo anda masuk offline,2021-06-02 15:35:56+00:00,32,siang,1
1174,samaa bangett pas kuliah offline suka bengong sama tidur jalan wkwkw,2021-06-02 15:28:48+00:00,11,siang,1
1175,baru kali ulang tahun pas ulang untung pas kuliah offline,2021-06-02 15:25:00+00:00,10,siang,1
1176,nek kuliah lingkon kek sekarang offline anda semua pilih berangkat ngampus,2021-06-02 15:14:44+00:00,11,siang,1
1177,adh serius kuliah jangan offline dulu udh nyaman bgt onlinee,2021-06-02 15:12:27+00:00,10,siang,1
1178,kuliah online aja hidup gue secaur gimana offline,2021-06-02 15:09:44+00:00,8,siang,1
1179,iya gapapa kan mumpung online ntar kalo kuliah offline jangan kaget kau dapet ipk dikit awokawok,2021-06-02 14:09:48+00:00,16,siang,1
1180,tar pas kuliah offline malah tambah stress snkaksnxnsjsjs,2021-06-02 13:56:43+00:00,8,siang,1
1181,pikir kalo nnti kuliah offline suruh ngekost dua ama adek gamau kalo ngekost tar makin miskin mana banyakk,2021-06-02 13:56:39+00:00,18,siang,1
1182,ugm fess takut kuliah offline sii,2021-06-02 13:48:59+00:00,6,siang,1
1183,nyaman kuliah daring offline nya pas wisuda ajaa,2021-06-02 13:48:41+00:00,8,siang,1
1184,kok mau sie wisuda offline padahal gitu doang males malah wisuda kuliah bener bener wisuda akhir baru dah males,2021-06-02 13:45:53+00:00,19,siang,1
1185,kata baru kata wkwkwk bulan juli nnti dah kuliah offline jadi jadi pkkmb nya offline,2021-06-02 13:35:39+00:00,15,siang,1
1186,pas kuliah offline mah boro boro rek ningali google liat pinggir aja udah panggil sama awas jurus aku mah kalau tau nyontek suruh ngulang semester matkul matak semenjak kuliah mah jadi sok ajar wkwk beda keur sma mah muka buku tara,2021-06-02 11:52:16+00:00,41,siang,1
1187,gimana mau kuliah offline kudus aja zona merah,2021-06-02 10:29:00+00:00,8,siang,1
1188,ken vaksin takut suruh kuliah offline,2021-06-02 10:19:36+00:00,6,siang,1
1189,baru kuliah offline hari badan rasae wes remuk tanda tanda wes enak ndek omah,2021-06-02 08:35:11+00:00,14,pagi,1
1190,omg udah mau kuliah offline,2021-06-02 08:02:15+00:00,5,pagi,1
1191,kalau kuliah bulan juni juli udah offline nanggung udah mau libur panjang,2021-06-02 07:41:10+00:00,12,pagi,1
1192,jakarta bakal kostan murah ngga sebenernya blm siap buat kuliah offline,2021-06-02 07:33:32+00:00,11,pagi,1
1193,yakali mau kuliah offline gue blm glow gue tahun ngapain apa anj,2021-06-02 07:29:42+00:00,12,pagi,1
1194,semester depan kuliah offline arti keluar makin banyak,2021-06-02 07:22:36+00:00,8,pagi,1
1195,masa ngabarin kuliah offline dada banget mana rumah anak anak kan jauh jauh,2021-06-02 05:25:45+00:00,13,pagi,1
1196,kaya mental blm siap deh kalo kuliah offline banyak maba sok keras,2021-06-02 05:18:56+00:00,12,pagi,1
1197,tips kuliah offline kameran tutup lakban hoho kalau lupa paling layar hitam pake,2021-06-02 05:15:26+00:00,13,pagi,1
1198,drama kuliah online seru temen tidur lupa mic offin ngorok kenceng bgt terus pernah kuliah gabung sama deting oncam posisi tidur tengkurep lagi temen lupa offin mic kentut percaya semua bakal dikangenin kalo udh offline,2021-06-02 05:04:22+00:00,35,pagi,1
1199,barusan pacar sahabat aku ngechat kan besok kuliah offline suruh jemput pacar rumah plis kuliah jam pagi aku rumah harus jam gituu jauhh yaa lah pas neng kalian dua terus gilir butuh,2021-06-02 04:53:15+00:00,32,pagi,1
1200,allah siap kuliah offline matkul toy,2021-06-02 04:43:20+00:00,6,pagi,1
1201,gua mimpi balik sby trus idup gua kayak balik sama orang sama ulang kuliah gua offline apaka tanda tidak kuliah offline wkwkwk,2021-06-02 04:17:47+00:00,22,pagi,1
1202,kalau kata gue sih nikmatin waktu sama keluarga temen sih klo nnti kuliah andai offline susah,2021-06-02 03:27:21+00:00,16,pagi,1
1203,kuliah luar jabodetabek aku bisa skripsi magang kantor jakarta kalo offline bimbing ketemu dosen gabisa magang jakarta,2021-06-02 03:25:28+00:00,17,pagi,1
1204,banget tar kalo kuliah offline cara ngerekam dosen ngajar kelas gimana,2021-06-02 02:56:33+00:00,11,pagi,1
1205,salah satu alas gak pernah mau kuliah offline metode hybrid,2021-06-02 02:41:10+00:00,10,pagi,1
1206,tumbang aja sekarang badan jadi anget bersin bersin pusing gue bayang kalo semester mesti offline udah kaya apa tipes kali ada mobilitas tinggi sekarang kelar kuliah langsung melipir kasur blessing disguise sih pandemi tuh,2021-06-02 02:33:05+00:00,34,pagi,1
1207,kuliah offline aja uas nya sering take home online begini,2021-06-02 01:00:19+00:00,10,pagi,1
1208,semester depan smt ganjil kalian ken kuliah tetep online apa offline online udh trlalu nyaman,2021-06-02 00:11:42+00:00,15,pagi,1
1209,iya bener lagi buka sekolah ofline sgampang ada surat rekom korwil satgas covid surat sedia ortu ttd materai,2021-06-05 12:09:04+00:00,18,siang,1
1210,mau sekolah ofline bukan apa ngerti semua mapel nya mana punya temen samsek hshshshshs,2021-06-03 14:47:00+00:00,14,siang,1
1211,bsok masuk sekolah allahuma ofline ajg,2021-06-02 03:58:28+00:00,6,pagi,1
1212,pas kelas offline perna jual isi binder lembar buat beli rokok hahaha,2021-04-24 15:29:01+00:00,12,siang,1
1213,remaja desa meski sekolah tatap muka tetap main ngaji ngopi tatap muka henti takut jelas sembari tetap patuh protokol sehat,2021-06-07 23:40:03+00:00,20,malam,1
1214,gausah sok sok sekolah tatap muka anak aja sekolah tatap muka bom dibolehin,2021-06-07 17:26:59+00:00,13,malam,1
1215,aku suka kalo sekolah tatap muka kalo tatap kamu aja gimana,2021-06-07 13:08:53+00:00,11,siang,1
1216,berita mana kasus covid tingkat terus apa sekolah mau tetep tatap muka,2021-06-07 10:48:40+00:00,12,siang,1
1217,ngeluh kapan sekolah muncul terus klaster dah putus tatap muka tuju gegara klaster gmn bunda,2021-06-07 10:35:59+00:00,15,siang,1
1218,jadi ortunya sadar risiko tinggi bila anak izin sekolah tatap muka,2021-06-07 09:31:04+00:00,11,siang,1
1219,tinggal sama mertua punya abet banding anak benar lebih risiko mertua lepas anak sekolah tatap muka arti taruh selamat anak mertua sekaligus,2021-06-07 03:37:33+00:00,22,pagi,1
1220,ayo sama tekan angka tular covid jaga jarak terap protokol sehat sesuai kelak bulan juli ajar kembali sekolah tatap muka sayadukungpaknadiem protokolkesehatan jagajarak indonesia,2021-06-06 12:39:17+00:00,24,siang,1
1221,aku sndiri tim pak fadli zon serius bahaya banget kalo sekolah tatap muka paksa saat mei lalu adek aku ambil kelulus sekolah gak sadar adek aku tular covid tular nenek aku mei lalu nenek aku tinggal,2021-06-06 04:31:20+00:00,36,pagi,1
1222,mkanya ane blm tuju sekolah tatap muka terlalu resiko,2021-06-06 01:55:52+00:00,9,pagi,1
1223,pro bang fadli anak sekolah tatap muka punya ortu masing kontrol aktivitas mobilisasi jadi ortu mrk kontak otg bisa tular anak anak jadi carrier anak lalu anak pulang rumah bawa virus,2021-06-05 16:56:34+00:00,31,siang,1
1226,iya mbak gapapa cuma mbak ken sekolah tatap muka semua mau untuk bulan juli tampak terlalu risiko vaksin belum sebar rata,2021-06-05 12:45:19+00:00,21,siang,1
1227,tuju sekolah sekolah kembali rumah anak anak akan resiko tular orang tua,2021-06-05 11:38:17+00:00,12,siang,1
1228,maaf pak nadiem seperti kali tuju sama pak fadli zon lagipula anak sekolah mulai nyaman tidur online class hehe mungkin tatap muka mulai playgroup dulu,2021-06-05 11:29:28+00:00,25,siang,1
1229,tuju anak walaupun sekolah libur tetep maen luar bahkan pantau kalau sekolah tatap muka kan anak pantau social distancingnya ade kerjaanya maen terus sekolah malah cuman absen doang dimarahin suruh keluar susah nama anak remaja,2021-06-05 08:01:08+00:00,35,pagi,1
1230,bapak nadiem begitu jelas ikan bukti valid betapa bahaya covid indonesia henti rencana sekolah tatap muka juli kalau ingat buka data jelas anda ngotot nanti siswa guru tinggal,2021-06-05 07:21:29+00:00,28,pagi,1
1231,sekolah tatap muka juli kalau tetap ngotot laku padahal jelas situasi bahaya juga sama jabat manipulasi data covid masuk sembah bagai setan atas,2021-06-05 07:19:25+00:00,23,pagi,1
1232,bapak nadiem henti rencana sekolah tatap muka juli ingat realita lapang jauh lebih parah data official perintah kait covid data telah manipulasi jabat jahat untung pribadi jabat imej politik uang,2021-06-05 07:10:11+00:00,30,pagi,1
1233,banyak alas tarik napas dalam bulan juni jumlah daerah statuta zona merah terus tambah,2021-06-05 04:44:31+00:00,14,pagi,1
1234,idiih buat apa sekolah tatap muka kalo masuk minggu sekali apa manfaat tetap aja nggk efektif sekali aja daring full senin jumat sekolah nih anak neng ketemu temennya pulang sekolah kerumun trs jalan mall deh nambah resiko tular,2021-06-05 04:31:59+00:00,38,pagi,1
1235,vaksinasi guru lambat sekolah tatap muka lebih resiko moga dapat vaksin fasilitas perintah beli syukur mereka lebih prioritas ketimbang didik anak anak anak anak pegawai,2021-06-05 03:08:57+00:00,25,pagi,1
1236,betul bang hendri resiko yertular covid jalan rumah sekolah balik perlu,2021-06-05 03:07:14+00:00,11,pagi,1
1237,resiko besar menteri tetap ngotot utk buka sekolah tatap,2021-06-04 09:09:07+00:00,9,siang,1
1238,masih tuju sekolah tatap muka resiko terlalu tinggi nyawa anak taruh soal,2021-06-04 07:15:35+00:00,12,pagi,1
1239,perlu ingat angka skr ini rupa angka status wfh sekolah from home kantor mul wfo sekolah tatap muka akan risiko lonjak jumlah kasus,2021-06-03 13:15:52+00:00,23,siang,1
1240,istri guru kali vaksinasi tidak ijinkan ikut sekolah tatap muka potensi bawa virus tular siswa saya ijinkan siswa vaksinasi,2021-06-03 11:58:34+00:00,19,siang,1
1241,pak nadiem walaupun offline nyaman awal nyaman banget lama lama stress banget tambah goblok mana bntar kelas,2021-06-07 15:39:00+00:00,17,siang,1
1242,gamau kelas offline soal susah main,2021-06-05 16:19:53+00:00,6,siang,1
1243,anjirrtt pas kelas emgnya offline,2021-06-04 07:37:19+00:00,5,pagi,1
1244,alhamdulillah kelas gajadi offline,2021-06-04 05:35:58+00:00,4,pagi,1
1245,sama mbak bungsu sma kelas ini gak kasihnizin ntuk tatap muka pihak sekolah erti ngeri mbak dgn kondisi ini jaga sehat keluarga dulu aja salam kenal mbak canteek,2021-06-05 01:36:34+00:00,28,pagi,1
1246,ada vaksin anak sekolah juga tdak izin anak sekolah tatap muka apa resiko masuk naik kelas sekalipun sikap,2021-06-03 11:16:53+00:00,18,siang,1
1247,kangen makan nangor cukup tingkat motivasi kuliah offline,2021-06-08 08:14:50+00:00,8,pagi,1
1248,skrg nyaman sama kuliah online pas udh nyaman suruh offline,2021-06-08 01:26:34+00:00,10,pagi,1
1249,alas ken cepet kuliah offline biar ngekost skrg udah nyaman online,2021-06-07 13:33:10+00:00,11,siang,1
1250,gmau kuliah offline ootd jelek bgt kampus,2021-06-07 13:16:33+00:00,7,siang,1
1251,butuh orang aminin moga gajadi kuliah offline,2021-06-07 12:17:45+00:00,7,siang,1
1252,klo beneran ntar kuliah offline yaampun mampu smt online aja hah hoh hah hoh,2021-06-07 12:14:53+00:00,14,siang,1
1253,udah mana kuliah mau offline byee homecare kuu,2021-06-07 10:37:29+00:00,8,siang,1
1254,umsfess kuliah online nya semester pliss siap sidang skripsi offline,2021-06-07 08:50:51+00:00,10,pagi,1
1255,ken kuliah online aja dah gamau offline,2021-06-07 08:38:47+00:00,7,pagi,1
1256,nah iya belum pernah ngrasain kuliah offline jadi takut gimana besok tugas uas utsnya dllnya takut nyeimbangin bikin nilai turun,2021-06-07 08:38:12+00:00,20,pagi,1
1257,tkut bgt juli brita kuliah gue offline please gue tkut bgt ngerti lgi,2021-06-07 03:39:51+00:00,13,pagi,1
1258,ngerasa jenuh gada hasrat aja kuliah emang sih baru semester gatau lingkup rumah lama tahun kek kurang aja gitu dulu sekolah jadi lari maaf jadi curhat doa biar cepet offline,2021-06-06 18:32:27+00:00,30,malam,1
1259,makin jaz udh beneran nyerang mental mana bawa lagi pdhl masslah kuliah kuliah aja sangkut paut orang duh ken cepet lulus asli makin gak mau offline udh ngerasa sehat pwrtemanan,2021-06-06 18:02:45+00:00,30,malam,1
1260,gax mauu kuliah offline hikss,2021-06-06 16:14:46+00:00,5,siang,1
1261,kalau aku malah syukur ngga kuliah offline karena lebih banyak waktu improve diri sendiri jadi sadar mana bener temen,2021-06-06 16:05:22+00:00,19,siang,1
1262,kuliah online aja udh gap apa kbr pas offline,2021-06-06 16:04:47+00:00,9,siang,1
1263,please jangan buru buru kuliah offline soal semangat beda kampus,2021-06-06 08:04:21+00:00,10,pagi,1
1264,bahkan pas offline dulu rasa tiap hari aku capek sosialisasi capek pura akrab sama cape pura frekuensi sama mang aku syukur banget sekarang kuliah online,2021-06-06 07:22:01+00:00,25,pagi,1
1265,kalo kuliah offline tar pusing cari tempat tinggal,2021-06-06 03:39:12+00:00,8,pagi,1
1266,haduuhz mau kuliah offline dah udah nyaman sama kuliah online gin,2021-06-06 03:03:24+00:00,11,pagi,1
1267,gua gamau kuliah offline masa,2021-06-05 22:21:35+00:00,5,malam,1
1268,latih nge percaya diri mana abis mau kuliah offline,2021-06-05 19:36:05+00:00,9,malam,1
1269,kalo kuliah offline susah deh kyknya,2021-06-05 16:54:19+00:00,6,siang,1
1270,allah siap bgt kuliah offline serius banget,2021-06-05 16:50:08+00:00,7,siang,1
1271,siap kuliah offline udah nyaman daring,2021-06-05 11:51:28+00:00,6,siang,1
1272,tbh aku siap bgt buat kuliah offline bukan takut nilai bakal turun lain cuma takut aja,2021-06-05 11:36:24+00:00,16,siang,1
1273,gue siap kuliah offline afsuwbeywjsvwuevegeh,2021-06-05 10:31:36+00:00,5,siang,1
1274,tim pak nadiem percuma sekolah kuliah offline kalo tempat umum tetep buka gaada beda,2021-06-05 09:05:06+00:00,14,siang,1
1275,pak nadiem sih soal blm tatap muka aja semua fasilitas kota kyk tempat nongkrong wisata mall udah buka dri kemaren kemaren kali tatap muka tunda mulu gada jamin kuliah offline trs nongkrong yakin bet ude gue banyak kuliah nongki,2021-06-05 08:45:46+00:00,39,pagi,1
1276,jiwa tim pak nadiem otak tim pak zon sebenernya capek kuliah online aku baru smt paham apa apa ken cepet offline kalo situasi kyk gino resiko banget offline naudzubillah ntar kalo kampus kasus online kan balik rumah capek,2021-06-05 08:28:52+00:00,38,pagi,1
1277,apa cuma aku udh mls kuliah offline,2021-06-05 07:06:01+00:00,7,pagi,1
1278,dulu ken banget kuliah biasa offline gitu kalo sekarang mah ken online aja terus sampe lulus,2021-06-05 06:59:35+00:00,16,pagi,1
1279,too anak kuliah sih teteup tuju offline,2021-06-05 01:00:19+00:00,7,pagi,1
1280,wes randue niat kuliah offline teh aslik,2021-06-04 18:15:35+00:00,7,malam,1
1281,takut banget kalo udah kuliah offline jogja aku susah adaptasi sama sekali orang temen aku kenal takut gabisa sosial takut pokok takut,2021-06-04 18:10:06+00:00,22,malam,1
1282,kuliah offline bikin kuat bukan hidup sana ninggalin orang tua anak tunggal kek yaampun berat bgt langsung tanya tanya diri siapa bantuin mereka sepi mana gue jauh beda pulau,2021-06-04 17:43:59+00:00,29,malam,1
1283,ken cpt jogja sekali univ kasi quesioner malah banyak netral tuju hehehe maap gengs klo krna org kek aku kalian gagal kuliah offline,2021-06-04 17:20:55+00:00,23,malam,1
1284,siap bgt kuliah offline heu,2021-06-04 16:05:05+00:00,5,siang,1
1285,gue kek gaakan sanggup kalo ngejalanin kulon semester depan sumpah lah bener gaada motivasi samsek blm siap hadap realita kuliah offline keras,2021-06-04 15:33:11+00:00,22,siang,1
1286,gausah gegabah lah gak semua mahasiswa mampu masuk kuliah offline situasi gin blm semua mahasiswa vaksin plus gue udh nyaman online krn hemat gak capek tenaga,2021-06-04 14:47:02+00:00,26,siang,1
1287,btw sumpa gua ngeri klo misal tar kuliah offline ngeri autopanik anjir deket org banyak ngg dah gua ngmg gmeet offcam aja grogol parah pdhal hari sblmnya dah latian ngmg,2021-06-04 13:41:36+00:00,30,siang,1
1288,kalau tanya sekarang enak kuliah online offline aku bakal jawab online sih aku anak mau banget ngeliat orang nak covid tular sampe anggota keluarga lain naudzubillah kalau sampe renggut nyawa salah satu keluarga sebut,2021-06-04 13:30:12+00:00,34,siang,1
1289,kata bentar kuliah offline udh lanjur nyaman online bayang ntar kuliah offline tanya dosen lama online apa udh kamu dapet alhamdulillah pak dapet,2021-06-04 12:57:24+00:00,23,siang,1
1290,nyaman kuliah offline punya temen,2021-06-04 07:48:28+00:00,5,pagi,1
1291,ngerasa blm siap bingit buat kuliah offline,2021-06-04 05:45:45+00:00,7,pagi,1
1292,gua gamau kuliah offline bukan gua nyaman semua karena ktm gua ilang banget dah mau lulus bayar urus ktm ilang,2021-06-04 02:47:02+00:00,20,pagi,1
1293,mls bgt kuliah offline argh hshshjshs,2021-06-04 02:16:03+00:00,6,pagi,1
1294,anj serius juli kuliah mulai offline,2021-06-04 02:09:46+00:00,6,pagi,1
1295,aku jujur aja lebih suka online karna klo kuliah mau online apa offline tetep aja aku bodo,2021-06-04 02:09:00+00:00,17,pagi,1
1296,terlalu resiko blm vaksin kalo kuliah full offline kaya was,2021-06-03 20:23:04+00:00,10,malam,1
1297,males kuliah offline,2021-06-03 11:57:42+00:00,3,siang,1
1298,woi anjir gue males kuliah offline,2021-06-03 11:57:30+00:00,6,siang,1
1299,gamau kuliah offline pls,2021-06-03 11:30:29+00:00,4,siang,1
1300,udh nyaman bgt kuliah online walaupun kangen kuliah offline hiks,2021-06-03 11:15:59+00:00,10,siang,1
1301,gilir kuliah offline fisik drop bgt,2021-06-03 10:46:37+00:00,6,siang,1
1302,khawatir kuliah offline masa pandemi bukan masalah takut tular pas kuliah kalo mah kampus kondisi jadi soal budaya nongkrong ngafe mahasiswa akan sulit atur,2021-06-03 10:29:46+00:00,24,siang,1
1303,huahh bom siap kuliah offline kalo praktikum ajar doang ongkos mahal cuy jauh bgt beda pulau lagi mesti cari kosan,2021-06-03 07:55:40+00:00,20,pagi,1
1304,gak tau ahh aku lebih suka kuliah online offline bhay,2021-06-03 07:24:13+00:00,10,pagi,1
1305,yahh kuliah offline dong,2021-06-03 06:39:01+00:00,4,pagi,1
1306,aku uas bener jrg jbjb krn fokus kalo offline yaa aku bener sbt purpose only nih sisi pen kuliah offline ueue,2021-06-03 05:30:01+00:00,21,pagi,1
1307,aku uas tanggal juni ada beberapa tes lisan mati aku kuliah offline dpt apa yakin,2021-06-03 02:30:11+00:00,15,pagi,1
1308,iya bgtt takut kuliah offline gapunya temen,2021-06-03 02:08:07+00:00,7,pagi,1
1309,tanyarl mau kuliah offline malah anxiety takut temen,2021-06-03 01:20:00+00:00,8,pagi,1
1310,kuliah offline siapa bakal ngurusin koleksi,2021-06-03 01:02:54+00:00,6,pagi,1
1311,kalo kuliah offline kan suka aja nyebelin,2021-07-03 17:20:34+00:00,7,malam,1
1312,jujurly sebenernya ken kuliah offline bcs udah lanjur comfy sama kuliah tidur anjrit didengerin sih basicly cuma tidur doang ampe siang wkwkwk,2021-07-03 12:41:51+00:00,22,siang,1
1313,mau curhat aja sih juli besok wisuda online kuliah susah thn cman buat manteng dpn laptop bahkan wisuda saat negara udah wisuda offline makasih buat org luar sana percaya covid saat udh banyak nakes tinggal,2021-07-03 11:01:49+00:00,35,siang,1
1314,panggil adel aja kan kuliah aku panggil dea kmrn aku minggu lebih kuliah offline senin online covid nanjak stay safe,2021-07-03 09:10:35+00:00,20,siang,1
1315,udh dkt masuk sekolah kuliah offline kopad kopid tiba tingkat pas libur kemren malah fine aja srh,2021-07-03 06:53:07+00:00,17,pagi,1
1316,itu apa betul skali pasien covid nambah sekian ribu arus mudik terus tambah lalu gue kesel akhir kata jancok bilang jangan mudik ngapa mudik sih kaga jadi kuliah offline,2021-07-02 17:42:22+00:00,29,malam,1
1317,kasus tingkat gin malah kuliah offline sorry skip the class professor,2021-07-02 13:34:58+00:00,11,siang,1
1318,kalo mau kuliah offline mesti jumlah covid tingkat seta online daring panjang kuliah virtual terus koyok nonton bigo live,2021-07-02 12:27:48+00:00,19,siang,1
1319,alas gua blm pngn kuliah offline ntar aja manusia kayak gitu,2021-07-02 10:42:59+00:00,11,siang,1
1320,rebah mikirin siap kuliah offline,2021-07-02 10:26:19+00:00,5,siang,1
1321,jujur aku ken kuliah offline ada kayak gin dah,2021-07-02 08:34:28+00:00,9,pagi,1
1322,gamau kuliah offline,2021-07-02 05:20:59+00:00,3,pagi,1
1323,udah nyaman online pdhl blm nyoba kuliah offline,2021-07-02 01:43:37+00:00,8,pagi,1
1324,dah nyaman kuliah onlen kalo praktikum ken offline lihat ada skrg gamau offline sama sekali soal parno bgt,2021-07-02 01:35:25+00:00,18,pagi,1
1325,gasiap kuliah offline ktm kelas pagi,2021-06-30 09:52:10+00:00,6,siang,1
1326,kalo benar jadi kuliah offline ingat jarak kampus anak rumah jauh pao tamalanrea anak minta dibawain bekal kyk waktu smp sma sdh mahasiswa for god sake arti harus tinggal zona nyaman catering mulai masak huhuu,2021-06-29 06:34:34+00:00,35,pagi,1
1327,kayak gin nih salah satu bikin males kuliah offline punya temen laku kayak,2021-06-29 02:55:58+00:00,13,pagi,1
1328,telyu kalo ikut vaksin bakal suruh kuliah offline dah nyaman kulon,2021-06-29 02:15:33+00:00,11,pagi,1
1329,takut bgt anjir kuliah haha hihi trs ngerasain kuliah offline baru satu semester doang tiba tiba dah mau magang,2021-06-28 16:23:00+00:00,19,siang,1
1330,tiap wacana kuliah offline korona malah makin meningkatt mengsebal,2021-06-28 14:55:47+00:00,9,siang,1
1331,golong orang pasrah bodoamat semester depan kuliah online apa offline,2021-06-28 13:16:36+00:00,10,siang,1
1332,kalau kasus covid lebih tinggi belum mending gak usah deh emg ken kuliah offline butt sehat sama lebih penting jadi stay home jaga sehat dan bersih kalian wee,2021-06-28 10:03:31+00:00,28,siang,1
1333,wei anjir percaya covid kalau mau nerapin prokes gpp kalo bolang corona makin parah kuliah offline tunda krn kuliah online kalo suruh nyuntik diri sendiri aja kagak berani nyuntik orang apa kabar megang pasien beneran,2021-06-28 10:01:39+00:00,35,siang,1
1334,takut banget kalau vaksin bahaya soal kuliah mulai offline,2021-06-28 08:33:15+00:00,9,pagi,1
1335,kak dpet beasiswa kuliah jkt jjr nang pas tau covidnya naik pdahal udah expect kuliah offline wkwk,2021-06-28 08:21:01+00:00,17,pagi,1
1336,allah dapet kabar skarang keluarga pak positif semua gara sepupu kampus nekat kuliah offline akhir kena tmn nya,2021-06-28 08:19:08+00:00,18,pagi,1
1337,hhmm zona hitam awas aja besok kalo ngajak kuliah offline,2021-06-28 08:07:50+00:00,10,pagi,1
1338,tahun depan aja dehh siap kuliah offline,2021-06-28 07:22:12+00:00,7,pagi,1
1339,gantung sih pen ngerasain kuliah offline ngeliat ada klo daerah tuh bahaya bgt ama covid mending ngebo kamar aja wkwk klo udah mungkin buat offline alhamdulillah bgt,2021-06-28 06:00:09+00:00,27,pagi,1
1340,mau bgt corona pergi gue gamau kuliah offline fakk,2021-06-28 04:11:04+00:00,9,pagi,1
1341,gua ken ngekoosst anjeengg gamau kuliah offline ehe,2021-06-27 17:23:18+00:00,8,malam,1
1342,ugm fess sini ngga sih lowkey udah lanjur nyaman kuliah online gue udah masa takut banget susah adaptasi pas offline,2021-06-27 12:16:11+00:00,20,siang,1
1343,blm kembang mungkin udah bulan lebih batuk sembuh makin paraah banget aku inisiatif aja pake masker kan takut aja nular org trs krn kuliah offline msh ketemu org situ banyak bgt negur aku kurus,2021-06-27 05:23:29+00:00,34,pagi,1
1344,sumpah tuju sekolah offline gimana,2021-07-03 10:11:55+00:00,5,siang,1
1345,dulu aku sih suka keluar zona nyaman sekolah offline semenjak sekolah online diri jadi lebih suka stay zona nyaman,2021-07-03 09:46:57+00:00,19,siang,1
